continous scale ebaluation for image quality																					continous evaluation scale for depth perception																		contonous evaluation scale for visual comfort																					
																																																												
																																																												
ID	AGE	SEXE	Content1	Content2	Content3	Content4	Content5	Content6	Content7	Content8	Content9	Content10	Content11	Content12	Content13	Content14	Content15	Content16			Content1	Content2	Content3	Content4	Content5	Content6	Content7	Content8	Content9	Content10	Content11	Content12	Content13	Content14	Content15	Content16			Content1	Content2	Content3	Content4	Content5	Content6	Content7	Content8	Content9	Content10	Content11	Content12	Content13	Content14	Content15	Content16						
30,00	21,00	m	55,00	70,00	70,00	90,00	59,00	56,00	38,00	57,00	52,00	10,00	41,00	30,00	69,00	100,00	60,00	95,00			80,00	85,00	85,00	55,00	44,00	63,00	50,00	50,00	41,00	59,00	43,00	56,00	68,00	89,00	80,00	98,00			80,00	60,00	58,00	52,00	82,00	73,00	100,00	55,00	89,00	41,00	40,00	80,00	59,00	98,00	100,00	95,00						
31,00	21,00	M	59,00	50,00	70,00	89,00	55,00	59,00	45,00	51,00	57,00	25,00	40,00	50,00	90,00	80,00	50,00	91,00			55,00	80,00	89,00	50,00	44,00	67,00	30,00	55,00	40,00	50,00	45,00	65,00	73,00	90,00	75,00	92,00			90,00	67,00	59,00	45,00	89,00	72,00	65,00	52,00	84,00	40,00	47,00	66,00	71,00	70,00	80,00	100,00						
32,00	21,00	m	52,00	70,00	75,00	97,00	50,00	50,00	90,00	60,00	56,00	59,00	45,00	45,00	70,00	80,00	55,00	93,00			35,00	83,00	77,00	56,00	45,00	65,00	44,00	56,00	54,00	54,00	46,00	45,00	53,00	99,00	70,00	95,00			55,00	64,00	60,00	52,00	88,00	75,00	50,00	54,00	85,00	48,00	50,00	65,00	75,00	100,00	50,00	99,00						
33,00	22,00	f	23,00	70,00	80,00	90,00	50,00	56,00	50,00	70,00	50,00	58,00	45,00	59,00	65,00	89,00	70,00	98,00			40,00	82,00	85,00	55,00	47,00	61,00	46,00	57,00	64,00	55,00	43,00	56,00	50,00	80,00	85,00	90,00			60,00	62,00	52,00	50,00	85,00	70,00	80,00	59,00	84,00	94,00	30,00	61,00	90,00	94,00	64,00	95,00						
34,00	20,00	f	60,00	75,00	55,00	100,00	56,00	52,00	50,00	80,00	52,00	56,00	90,00	52,00	60,00	90,00	68,00	100,00			50,00	89,00	81,00	57,00	48,00	70,00	43,00	54,00	45,00	50,00	60,00	52,00	70,00	95,00	90,00	97,00			65,00	66,00	53,00	58,00	84,00	75,00	76,00	56,00	80,00	45,00	40,00	68,00	90,00	55,00	90,00	95,00						
35,00	35,00	m	56,00	65,00	60,00	98,00	59,00	54,00	40,00	52,00	51,00	60,00	42,00	57,00	69,00	80,00	65,00	90,00			50,00	90,00	75,00	52,00	50,00	50,00	33,00	35,00	44,00	51,00	30,00	52,00	65,00	100,00	87,00	95,00			0,00	69,00	59,00	60,00	83,00	76,00	56,00	52,00	85,00	50,00	45,00	69,00	100,00	99,00	40,00	94,00						
36,00	19,00	f	58,00	50,00	65,00	90,00	60,00	58,00	59,00	58,00	59,00	55,00	41,00	50,00	59,00	85,00	70,00	90,00			54,00	70,00	87,00	51,00	30,00	65,00	66,00	73,00	89,00	65,00	44,00	50,00	90,00	89,00	83,00	85,00			70,00	60,00	54,00	40,00	86,00	71,00	63,00	51,00	84,00	41,00	48,00	60,00	60,00	80,00	65,00	98,00						
37,00	32,00	f	59,00	55,00	70,00	80,00	68,00	60,00	56,00	56,00	58,00	54,00	45,00	60,00	55,00	81,00	50,00	87,00			45,00	75,00	90,00	69,00	50,00	64,00	50,00	55,00	45,00	58,00	46,00	50,00	50,00	98,00	81,00	88,00			60,00	65,00	52,00	60,00	87,00	70,00	61,00	57,00	83,00	44,00	50,00	66,00	44,00	95,00	60,00	80,00						
38,00	21,00	f	57,00	50,00	60,00	85,00	64,00	65,00	58,00	54,00	54,00	52,00	48,00	58,00	50,00	35,00	62,00	45,00			55,00	50,00	81,00	65,00	45,00	63,00	30,00	58,00	34,00	59,00	45,00	60,00	66,00	95,00	82,00	90,00			55,00	70,00	55,00	59,00	84,00	75,00	67,00	58,00	80,00	40,00	30,00	65,00	50,00	100,00	56,00	100,00						
39,00	22,00	m	51,00	60,00	60,00	90,00	50,00	55,00	30,00	44,00	60,00	50,00	48,00	59,00	58,00	30,00	90,00	45,00			55,00	85,00	98,00	66,00	49,00	62,00	44,00	58,00	55,00	55,00	44,00	60,00	67,00	90,00	85,00	98,00			54,00	75,00	50,00	52,00	87,00	73,00	65,00	59,00	85,00	41,00	48,00	61,00	50,00	95,00	65,00	100,00						
40,00	23,00	f	52,00	60,00	55,00	88,00	59,00	55,00	32,00	50,00	65,00	51,00	49,00	50,00	95,00	89,00	78,00	98,00			40,00	75,00	80,00	68,00	45,00	69,00	30,00	55,00	40,00	51,00	43,00	56,00	69,00	85,00	89,00	93,00			70,00	72,00	51,00	58,00	87,00	74,00	64,00	55,00	86,00	47,00	49,00	65,00	99,00	99,00	50,00	100,00						
41,00	29,00	m	52,00	55,00	60,00	75,00	57,00	52,00	45,00	58,00	57,00	70,00	47,00	60,00	70,00	84,00	60,00	90,00			35,00	80,00	85,00	77,00	46,00	68,00	50,00	54,00	40,00	53,00	46,00	57,00	70,00	87,00	80,00	98,00			50,00	80,00	50,00	55,00	86,00	71,00	60,00	50,00	84,00	45,00	40,00	60,00	60,00	50,00	70,00	96,00						
42,00	25,00	m	50,00	80,00	60,00	80,00	52,00	50,00	45,00	50,00	59,00	56,00	40,00	90,00	75,00	85,00	65,00	87,00			45,00	77,00	80,00	44,00	43,00	60,00	43,00	51,00	45,00	53,00	47,00	58,00	65,00	90,00	90,00	90,00			0,00	65,00	58,00	58,00	85,00	80,00	70,00	52,00	83,00	50,00	100,00	66,00	61,00	89,00	65,00	95,00						
43,00	21,00	m	54,00	77,00	60,00	79,00	50,00	60,00	48,00	56,00	52,00	60,00	41,00	45,00	90,00	79,00	70,00	89,00			55,00	76,00	70,00	65,00	41,00	55,00	43,00	45,00	46,00	50,00	41,00	59,00	70,00	98,00	100,00	87,00			60,00	64,00	60,00	50,00	82,00	70,00	50,00	51,00	87,00	90,00	50,00	68,00	50,00	88,00	90,00	94,00						
44,00	24,00	m	58,00	75,00	59,00	84,00	56,00	59,00	49,00	60,00	35,00	59,00	40,00	48,00	70,00	76,00	90,00	95,00			56,00	70,00	86,00	45,00	50,00	75,00	30,00	64,00	46,00	40,00	43,00	54,00	50,00	93,00	70,00	85,00			40,00	62,00	40,00	51,00	80,00	75,00	100,00	52,00	87,00	55,00	48,00	69,00	40,00	90,00	100,00	97,00						
